Stemmed Term,Set A occurences,Set B occurences,ratio DocFreq(A) to DocFreq(B)
a2,16,212,0.075471698113207544
a2annex,22,0,inf
ab,286,387,0.73901808785529721
abandon,41,235,0.17446808510638298
abid,24,97,0.24742268041237114
abil,105,1357,0.077376565954310986
abl,106,1725,0.061449275362318839
abov,1168,6922,0.16873735914475585
abovement,67,278,0.24100719424460432
absenc,288,2221,0.12967131922557407
absent,99,685,0.14452554744525548
absolut,54,563,0.095914742451154528
abstract,39,259,0.15057915057915058
absurd,64,264,0.24242424242424243
accept,456,3764,0.12114771519659936
access,134,4038,0.033184744923229322
acciai,52,73,0.71232876712328763
accommod,26,148,0.17567567567567569
accompani,58,428,0.13551401869158877
accord,1733,14337,0.12087605496268397
accordancewith,27,0,inf
accordingli,329,2603,0.12639262389550518
account,1263,6358,0.19864737338785782
accru,84,983,0.085452695829094608
accur,120,807,0.14869888475836432
accuraci,104,363,0.28650137741046833
accus,25,77,0.32467532467532467
achiev,109,1230,0.088617886178861793
acknowledg,255,1665,0.15315315315315314
acomparison,23,1,23.0
acquir,14,516,0.027131782945736434
act,1656,13194,0.12551159618008187
actedinconsist,36,0,inf
action,752,11189,0.06720886585038878
activ,183,2383,0.076793957196810744
actual,948,5721,0.16570529627687466
ad,5184,10718,0.4836723269266654
ada,132,393,0.33587786259541985
adagr,71,0,inf
add,184,1036,0.17760617760617761
addit,1168,8759,0.13334855577120677
address,1183,5667,0.20875242632786306
adduc,31,351,0.088319088319088315
adequ,136,1684,0.08076009501187649
adequaci,47,365,0.12876712328767123
adetermin,20,0,inf
adher,24,141,0.1702127659574468
adjud,20,114,0.17543859649122806
adjudicatori,24,10,2.3999999999999999
adjust,1546,2414,0.64043082021541009
administ,168,893,0.18812989921612541
administr,2785,4787,0.58178399832880723
administrativereview,98,0,inf
admiss,42,264,0.15909090909090909
admit,156,672,0.23214285714285715
adopt,1780,7645,0.23283191628515371
adopté,14,0,inf
adoptó,14,0,inf
adp136,13,0,inf
adp137,16,2,8.0
adump,13,0,inf
advanc,137,2097,0.0653314258464473
advantag,69,3184,0.021670854271356784
advers,95,4001,0.023744063984003999
advoc,39,246,0.15853658536585366
afair,16,0,inf
affect,1010,7019,0.14389514175808521
affidavit,69,203,0.33990147783251229
affili,291,269,1.0817843866171004
affirm,235,1549,0.15171078114912848
afford,30,645,0.046511627906976744
aforement,13,111,0.11711711711711711
agenc,43,1847,0.023280996210070383
agenda,43,131,0.3282442748091603
agener,15,0,inf
aggreg,675,1101,0.61307901907356943
agre,1000,6312,0.15842839036755388
agreedupon,24,17,1.411764705882353
agreement,9942,66674,0.14911359750427453
agreement1,25,26,0.96153846153846156
agreement2,27,27,1.0
agreementand,34,4,8.5
agreementarticl,14,5,2.7999999999999998
agreementb,23,0,inf
agreementc,24,0,inf
agreementd,17,0,inf
agreementin,27,0,inf
