Stemmed Term,mean case doc freq over all A cases,median case doc freq over all A cases,SD of case doc freq over all A cases
requir comparison,0.039307628975821192,0.041666666666666664,0.042035623227238618
requir consid,0.027630478583500526,0.0,0.040018002108753614
requir consider,0.028391449638589226,0.0,0.038707769619290254
requir determin,0.029196531396692926,0.041666666666666664,0.025154737865358476
requir dsu,0.035028860028860034,0.0,0.045034645188973751
requir dump,0.030942563142724675,0.028571428571428571,0.037753639871614814
requir ensur,0.038720340920502451,0.043478260869565216,0.036694382395131189
requir establish,0.033306807085915983,0.041666666666666664,0.038695027155453345
requir examin,0.029196531396692926,0.041666666666666664,0.025154737865358476
requir fair,0.038373624326646268,0.041666666666666664,0.040168090474193063
requir gener,0.032433791212900111,0.028571428571428571,0.038644258827728102
requir impos,0.025613671860811447,0.0,0.039147987362654194
requir investig,0.038720340920502451,0.043478260869565216,0.036694382395131189
requir make,0.05218835438851592,0.050000000000000003,0.038679808962768382
requir margin,0.032488456862531441,0.028571428571428571,0.038698217786292864
requir member,0.033306807085915983,0.041666666666666664,0.038695027155453345
requir ofarticl,0.0,0.0,0.0
requir offset,0.032488456862531441,0.028571428571428571,0.038698217786292864
requir onli,0.031369365442591987,0.0,0.040203560075355541
requir panel,0.063616925817087361,0.052631578947368418,0.034342996751146028
requir provid,0.038720340920502451,0.043478260869565216,0.036694382395131189
requir provis,0.037815663768685712,0.041666666666666664,0.043285626037908399
requir reason,0.020613671860811447,0.0,0.037636145006262597
requir result,0.033306807085915983,0.041666666666666664,0.038695027155453345
requir section,0.039706859375051598,0.041666666666666664,0.044190333146845132
requir sentenc,0.049895864269938833,0.050000000000000003,0.04147087193106512
requir set,0.03538700758716911,0.041666666666666664,0.037773476510893446
requir thi,0.034147143220369762,0.041666666666666664,0.0393710132157137
requir unit,0.028687661181940358,0.0,0.038854506577303466
requir usdoc,0.023958436158597687,0.0,0.026269815076113957
requir use,0.038720340920502451,0.043478260869565216,0.036694382395131189
resal price,0.027455777123969342,0.0,0.037933126084414591
reserv right,0.073140735340896865,0.058823529411764705,0.035178569154329958
resist steel,0.022354426133535034,0.0,0.025182117492652659
resolut disput,0.045357751310773256,0.043478260869565216,0.041703613238276177
resolut thi,0.045533189907264487,0.043478260869565216,0.04172830116519087
resolv disput,0.073140735340896865,0.058823529411764705,0.035178569154329958
resolv issu,0.031900221568413788,0.028571428571428571,0.03835901344142699
resolv legal,0.035146111099133043,0.028571428571428571,0.038948249824854467
resolv particular,0.044657769031843597,0.043478260869565216,0.041495986265588501
resolv thi,0.049542851743013275,0.050000000000000003,0.035809895047032032
respect administr,0.028044012418086992,0.0,0.038344347175845957
respect ani,0.038720340920502451,0.043478260869565216,0.036694382395131189
respect antidump,0.057780111559220464,0.050000000000000003,0.044096982113725813
respect applic,0.030812693012854542,0.041666666666666664,0.028114838128648144
respect articl,0.046127748327909855,0.043478260869565216,0.039255809787173808
respect averagetoaverag,0.032770436191488818,0.0,0.040223197857469681
respect calcul,0.028291854244876184,0.0,0.033803795843951455
respect certain,0.055045497245658777,0.052631578947368418,0.038411710113844755
respect claim,0.038720340920502451,0.043478260869565216,0.036694382395131189
respect continu,0.012112880239815223,0.0,0.020947394971072317
respect determin,0.033917028291102866,0.041666666666666664,0.038922127113039828
respect dump,0.040625102825264353,0.043478260869565216,0.029010377870653612
respect european,0.02916727512029706,0.0,0.034506303515999079
respect export,0.038720340920502451,0.043478260869565216,0.036694382395131189
respect import,0.030767124546233444,0.028571428571428571,0.037658439218685648
respect individu,0.018520202894277468,0.0,0.023520490214180154
respect investig,0.040372054746129309,0.043478260869565216,0.034913943745378102
respect measur,0.055839148039309575,0.052631578947368418,0.040565764624213956
respect methodolog,0.040075474148700697,0.043478260869565216,0.045035464948817792
respect model,0.023044012418086991,0.0,0.028834956356919312
respect origin,0.021418753618915147,0.0,0.023737571761286397
respect panel,0.035952309731418622,0.043478260869565216,0.033417316678935223
respect particular,0.054933452427731615,0.050000000000000003,0.04047287880442018
respect period,0.016615440989515562,0.0,0.023784800339229067
respect product,0.044780946981108509,0.043478260869565216,0.0373011189532301
respect request,0.052700746479855377,0.050000000000000003,0.037966676473052643
respect resolv,0.026409078251183507,0.0,0.035314633773226745
respect rice,0.019513991714153241,0.0,0.02422844770889146
respect sale,0.042488456862531436,0.043478260869565216,0.039763252582227952
respect second,0.025090796043817983,0.0,0.038645326571633533
respect singl,0.019043078711270933,0.0,0.024478323413911901
respect specif,0.025116232610511786,0.0,0.03829950548828473
respect thi,0.045387007587169119,0.043478260869565216,0.038110742702143319
respect toth,0.0,0.0,0.0
respect transact,0.022964647338721913,0.0,0.025790165646326836
respect unit,0.030942563142724675,0.028571428571428571,0.037753639871614814
respect zero,0.03538700758716911,0.041666666666666664,0.037773476510893446
respond ani,0.026821874948809929,0.0,0.035653304159767682
respond argument,0.034841198620307517,0.028571428571428571,0.042511686355097805
respond compani,0.034482330435352378,0.0,0.044135836559880084
respond member,0.025863198063359592,0.028571428571428571,0.025487773577575215
respond parti,0.061712163912325452,0.052631578947368418,0.036928873971687995
respond select,0.0083660130718954239,0.0,0.02137724559138262
respons panel,0.063616925817087361,0.052631578947368418,0.034342996751146028
respons question,0.055045497245658777,0.052631578947368418,0.038411710113844755
respons thi,0.061712163912325452,0.052631578947368418,0.036928873971687995
respons unit,0.046127748327909855,0.043478260869565216,0.039255809787173808
rest permiss,0.043482245682407217,0.043478260869565216,0.035988510183065349
restrict import,0.029385238458465003,0.0,0.038890561554980517
result administr,0.027433791212900113,0.0,0.038019658470996552
result aggreg,0.029631314005388581,0.028571428571428571,0.031323466737217545
result ani,0.01834476429778624,0.0,0.023273922270494296
result antidump,0.048244150444311976,0.043478260869565216,0.043344995858273165
result appel,0.042806566585675485,0.043478260869565216,0.037228660275777356
result applic,0.024393218767293341,0.0,0.026640635269959228
result assess,0.015592423086702261,0.0,0.022226321913233579
result averagetoaverag,0.014598634266826485,0.0,0.021269949346598614
result calcul,0.039977634351708931,0.043478260869565216,0.040224988826250641
result certain,0.023958436158597687,0.0,0.026269815076113957
result comparison,0.06028359248375402,0.052631578947368418,0.03775945559528144
result determin,0.04867893305300762,0.043478260869565216,0.047017276083568073
result differ,0.035821790195864768,0.041666666666666664,0.037901423495352159
result dump,0.043741589694611636,0.043478260869565216,0.040354955099149777
result export,0.034710679084753657,0.028571428571428571,0.041455892427850763
result final,0.02547091300288231,0.0,0.039178311171843241
result higher,0.038720340920502451,0.043478260869565216,0.036694382395131189
result import,0.019338553117662017,0.0,0.023996424195110597
result imposit,0.026180658380819909,0.028571428571428571,0.02601815713840212
result inconsist,0.018520202894277468,0.0,0.023520490214180154
result individu,0.026297980672055247,0.028571428571428571,0.025837773717867406
result intermedi,0.026180658380819909,0.028571428571428571,0.02601815713840212
result investig,0.046086340460415029,0.050000000000000003,0.041285921716503984
result margin,0.038244150444311974,0.043478260869565216,0.038757903403054468
result modelspecif,0.034733314401506621,0.028571428571428571,0.038727301220634093
result multipl,0.050759782959944481,0.052631578947368418,0.033508032257529075
result onli,0.030372054746129314,0.028571428571428571,0.033061930213535325
result origin,0.015011430964452906,0.0,0.022049855072701515
result reflect,0.028902075450063063,0.0,0.034153241823216975
result situat,0.031377345751420323,0.028571428571428571,0.037932630189720755
result thi,0.063616925817087361,0.052631578947368418,0.034342996751146028
result unit,0.047556319756481287,0.043478260869565216,0.04304372718947079
result usdoc,0.029589906137893755,0.0,0.039388645563729306
result use,0.035821790195864768,0.041666666666666664,0.037901423495352159
result wa,0.035798857045996627,0.028571428571428571,0.042963390731768442
result zero,0.046127748327909855,0.043478260869565216,0.039255809787173808
retail carrier,0.024056248762131117,0.0,0.041141870697329559
retrospect assess,0.021418753618915147,0.0,0.023737571761286397
retrospect duti,0.021418753618915147,0.0,0.023737571761286397
retrospect prospect,0.017497184991464167,0.0,0.022031870769123916
retrospect review,0.011700083542188804,0.0,0.020065267708649432
revers panel,0.038720340920502451,0.043478260869565216,0.036694382395131189
review 1,0.037567821941896513,0.028571428571428571,0.046967633164517193
review accord,0.032371134571296103,0.041666666666666664,0.038041215568424068
review ani,0.025687759466868364,0.028571428571428571,0.025311362851739499
review antidump,0.060413462613624132,0.052631578947368418,0.041469043574585168
review appel,0.054093116293277822,0.052631578947368418,0.030658526191923635
review appli,0.035821790195864768,0.041666666666666664,0.037901423495352159
review applic,0.045521687721849259,0.050000000000000003,0.032752068181402465
review articl,0.038720340920502451,0.043478260869565216,0.036694382395131189
review assess,0.02844956594384512,0.0,0.038144018213423225
review author,0.020471650139842361,0.0,0.025592647429892902
review base,0.022847325047486579,0.0,0.024748332385106039
review basi,0.021853536227610802,0.0,0.024192994774845815
review becaus,0.028044012418086992,0.0,0.03834434717584595
review brazil,0.013812974465148379,0.0,0.019951912230134188
review calcul,0.028520202894277469,0.028571428571428571,0.030267849863561971
review case,0.02903780123796277,0.0,0.038537823861164923
review certain,0.037392383345405289,0.028571428571428571,0.046915924142222218
review chang,0.01269387236206458,0.0,0.021212607180909216
review concern,0.032313018266040203,0.028571428571428571,0.038612371068302266
review conduct,0.024752086952248478,0.028571428571428571,0.024004919868331358
review consist,0.040330646878634496,0.041666666666666664,0.042310504618849949
review continu,0.011502659034628344,0.0,0.019863428622166102
